id_produk,nama_produk,kategori,sub_kategori,ukuran,warna_base,harga_jual,harga_modal,stok_tersedia,material,finishing,berat_gram,deskripsi,status_aktif,tanggal_dibuat,tanggal_update
P022,Signage Menu Board LED,Signage,Restaurant,50x70cm,Hitam/Putih,585000,315000,6,Akrilik 8mm,Glossy,1380,Menu board dengan backlight,Aktif,2025-05-01,2025-10-16
P023,Signage Welcome Stand,Signage,Business Standard,40x60cm,Gold/Putih,395000,210000,9,Akrilik 5mm,Glossy,720,Stand sambutan elegan,Aktif,2025-05-20,2025-10-14
P024,Signage Parkir Area,Signage,Wayfinding,35x45cm,Biru/Putih,245000,130000,11,Akrilik 5mm,Matte,485,Petunjuk area parkir,Aktif,2025-06-10,2025-10-21
P025,Signage QR Code Display,Signage,Digital Integration,25x30cm,Putih/Hitam,165000,85000,18,Akrilik 5mm,Glossy,295,Display QR code untuk menu digital,Aktif,2025-07-01,2025-10-17
P026,Papan Nama Toko Premium,Papan Nama,Business Premium,40x60cm,Custom,450000,240000,7,Akrilik 8mm,Glossy,1050,Papan nama toko premium cutting,Aktif,2025-02-10,2025-10-20
P027,Papan Nama Kantor Profesional,Papan Nama,Office Standard,35x50cm,Hitam/Silver,385000,205000,10,Akrilik 5mm,Matte,680,Papan nama kantor profesional,Aktif,2025-02-25,2025-10-18
P028,Papan Nama Klinik Medical,Papan Nama,Medical,45x65cm,Putih/Hijau,525000,285000,5,Akrilik 8mm,Glossy,1250,Papan nama klinik dengan logo medis,Aktif,2025-03-10,2025-10-15
P029,Papan Nama Restoran Elegant,Papan Nama,Restaurant,50x70cm,Coklat/Gold,595000,320000,4,Akrilik 8mm,Glossy,1450,Papan nama restoran mewah,Aktif,2025-03-25,2025-10-12
P030,Papan Nama Bengkel Otomotif,Papan Nama,Automotive,40x55cm,Merah/Hitam,425000,225000,6,Akrilik 8mm,Matte,980,Papan nama bengkel,Aktif,2025-04-08,2025-10-19
P031,Papan Nama Salon Beauty,Papan Nama,Beauty,38x52cm,Pink/Gold,395000,210000,8,Akrilik 5mm,Glossy,785,Papan nama salon kecantikan,Aktif,2025-04-22,2025-10-16
P032,Papan Nama Law Office,Papan Nama,Legal,42x58cm,Hitam/Gold,465000,250000,5,Akrilik 8mm,Glossy,1120,Papan nama kantor hukum,Aktif,2025-05-05,2025-10-14
P033,Papan Nama Barbershop Vintage,Papan Nama,Barbershop,40x58cm,Hitam/Merah,435000,230000,6,Akrilik 8mm,Matte,1045,Desain vintage klasik,Aktif,2025-05-18,2025-10-21
P034,Papan Nama Boutique Fashion,Papan Nama,Fashion,45x60cm,Rose Gold/Putih,485000,260000,7,Akrilik 8mm,Glossy,1180,Papan nama butik fashion,Aktif,2025-06-02,2025-10-17
P035,Papan Nama Property Office,Papan Nama,Property,48x68cm,Biru/Putih,545000,295000,4,Akrilik 8mm,Glossy,1380,Papan nama agen properti,Aktif,2025-06-25,2025-10-13
P036,Plakat Akrilik Trophy,Aksesoris Dekorasi,Award,15x20cm,Clear/Gold,175000,90000,22,Akrilik 8mm,Glossy,385,Plakat penghargaan premium,Aktif,2025-01-10,2025-10-22
P037,Display Menu Akrilik + Stand,Aksesoris Dekorasi,Restaurant,20x30cm,Clear,95000,48000,28,Akrilik 3mm,Glossy,245,Display menu dengan stand L,Aktif,2025-01-25,2025-10-19
P038,Partisi Meja Akrilik,Aksesoris Dekorasi,Office,60x40cm,Clear,185000,95000,15,Akrilik 5mm,Glossy,820,Partisi pembatas meja kerja,Aktif,2025-02-08,2025-10-20
P039,Rak Display Akrilik 3 Tingkat,Aksesoris Dekorasi,Retail,30x30x40cm,Clear,275000,145000,12,Akrilik 5mm,Glossy,1150,Rak display 3 tingkat,Aktif,2025-02-20,2025-10-16
P040,Photo Frame Akrilik Magnetic,Aksesoris Dekorasi,Home Decor,15x20cm,Clear,65000,32000,35,Akrilik 3mm,Glossy,185,Frame foto dengan magnet,Aktif,2025-03-05,2025-10-23
P041,Name Plate Desk Akrilik,Aksesoris Dekorasi,Office,10x20cm,Clear/Hitam,55000,28000,40,Akrilik 3mm,Glossy,125,Name plate meja kerja,Aktif,2025-03-15,2025-10-21
P042,Kotak Tissue Akrilik,Aksesoris Dekorasi,Home Decor,25x13x8cm,Clear,85000,42000,25,Akrilik 5mm,Glossy,425,Kotak tissue minimalis,Aktif,2025-03-28,2025-10-18
P043,Tempat Alat Tulis Organizer,Aksesoris Dekorasi,Office,15x10x10cm,Clear,68000,34000,30,Akrilik 3mm,Glossy,285,Organizer alat tulis desktop,Aktif,2025-04-10,2025-10-20
P044,Holder Brosur A4 Wall Mount,Aksesoris Dekorasi,Office,22x31cm,Clear,75000,38000,20,Akrilik 3mm,Glossy,245,Holder brosur dinding,Aktif,2025-04-25,2025-10-17
P045,Display Jam Tangan 10 Slot,Aksesoris Dekorasi,Retail,30x25x8cm,Black/Clear,245000,130000,8,Akrilik 5mm,Glossy,685,Display jam tangan 10 slot,Aktif,2025-05-08,2025-10-15
P046,Kotak Perhiasan 3 Drawer,Aksesoris Dekorasi,Home Decor,20x15x15cm,Clear/Pink,195000,105000,10,Akrilik 5mm,Glossy,520,Kotak perhiasan dengan laci,Aktif,2025-05-22,2025-10-19
P047,Standing Calendar Custom,Aksesoris Dekorasi,Office,15x20cm,Clear/Custom,85000,42000,18,Akrilik 5mm,Glossy,235,Kalender meja custom design,Aktif,2025-06-05,2025-10-16
P048,Tempat HP Multi Stand,Aksesoris Dekorasi,Electronics,12x8x10cm,Clear,48000,24000,32,Akrilik 3mm,Glossy,145,Stand HP multi angle,Aktif,2025-06-18,2025-10-22
P049,Display Masker Wall Mount,Aksesoris Dekorasi,Health,25x15cm,Clear,72000,36000,24,Akrilik 3mm,Glossy,195,Display masker di dinding,Aktif,2025-07-02,2025-10-14
P050,Jam Dinding Akrilik Custom,Aksesoris Dekorasi,Home Decor,30x30cm,Clear/Custom,165000,85000,11,Akrilik 5mm,Glossy,480,Jam dinding dengan design custom,Aktif,2025-07-15,2025-10-18
